List	Class	Genes
COSMIC CGC 20171009	Cancer	MAP3K1
COSMIC CGC 20171009	Cancer	MAP3K13
COSMIC CGC 20171009	Cancer	MAPK1
COSMIC CGC 20171009	Cancer	MAX
COSMIC CGC 20171009	Cancer	MDM2
COSMIC CGC 20171009	Cancer	MDM4
COSMIC CGC 20171009	Cancer	MECOM
COSMIC CGC 20171009	Cancer	MED12
COSMIC CGC 20171009	Cancer	MEN1
COSMIC CGC 20171009	Cancer	MET
COSMIC CGC 20171009	Cancer	MITF
COSMIC CGC 20171009	Cancer	MKL1
COSMIC CGC 20171009	Cancer	MLF1
COSMIC CGC 20171009	Cancer	MLH1
COSMIC CGC 20171009	Cancer	MLLT1
COSMIC CGC 20171009	Cancer	MLLT10
COSMIC CGC 20171009	Cancer	MLLT11
COSMIC CGC 20171009	Cancer	MLLT3
COSMIC CGC 20171009	Cancer	MLLT4
COSMIC CGC 20171009	Cancer	MLLT6
COSMIC CGC 20171009	Cancer	MN1
COSMIC CGC 20171009	Cancer	MPL
COSMIC CGC 20171009	Cancer	MSH2
COSMIC CGC 20171009	Cancer	MSH6
COSMIC CGC 20171009	Cancer	MSI2
COSMIC CGC 20171009	Cancer	MSN
COSMIC CGC 20171009	Cancer	MTCP1
COSMIC CGC 20171009	Cancer	MTOR
COSMIC CGC 20171009	Cancer	MUC1
COSMIC CGC 20171009	Cancer	MUTYH
COSMIC CGC 20171009	Cancer	MYB
COSMIC CGC 20171009	Cancer	MYC
COSMIC CGC 20171009	Cancer	MYCL
COSMIC CGC 20171009	Cancer	MYCN
COSMIC CGC 20171009	Cancer	MYD88
COSMIC CGC 20171009	Cancer	MYH11
COSMIC CGC 20171009	Cancer	MYH9
COSMIC CGC 20171009	Cancer	MYO5A
COSMIC CGC 20171009	Cancer	MYOD1
COSMIC CGC 20171009	Cancer	NAB2
COSMIC CGC 20171009	Cancer	NBN
COSMIC CGC 20171009	Cancer	NCOA1
COSMIC CGC 20171009	Cancer	NCOA2
COSMIC CGC 20171009	Cancer	NCOA4
COSMIC CGC 20171009	Cancer	NCOR1
COSMIC CGC 20171009	Cancer	NCOR2
COSMIC CGC 20171009	Cancer	NDRG1
COSMIC CGC 20171009	Cancer	NF1
COSMIC CGC 20171009	Cancer	NF2
COSMIC CGC 20171009	Cancer	NFATC2
COSMIC CGC 20171009	Cancer	NFE2L2
COSMIC CGC 20171009	Cancer	NFIB
COSMIC CGC 20171009	Cancer	NFKB2
COSMIC CGC 20171009	Cancer	NFKBIE
COSMIC CGC 20171009	Cancer	NIN
COSMIC CGC 20171009	Cancer	NKX2-1
COSMIC CGC 20171009	Cancer	NONO
COSMIC CGC 20171009	Cancer	NOTCH1
COSMIC CGC 20171009	Cancer	NOTCH2
COSMIC CGC 20171009	Cancer	NPM1
COSMIC CGC 20171009	Cancer	NR4A3
COSMIC CGC 20171009	Cancer	NRAS
COSMIC CGC 20171009	Cancer	NRG1
COSMIC CGC 20171009	Cancer	NSD1
COSMIC CGC 20171009	Cancer	NT5C2
COSMIC CGC 20171009	Cancer	NTRK1
COSMIC CGC 20171009	Cancer	NTRK3
COSMIC CGC 20171009	Cancer	NUMA1
COSMIC CGC 20171009	Cancer	NUP214
COSMIC CGC 20171009	Cancer	NUP98
COSMIC CGC 20171009	Cancer	NUTM1
COSMIC CGC 20171009	Cancer	NUTM2A
COSMIC CGC 20171009	Cancer	NUTM2B
COSMIC CGC 20171009	Cancer	OLIG2
COSMIC CGC 20171009	Cancer	P2RY8
COSMIC CGC 20171009	Cancer	PAFAH1B2
COSMIC CGC 20171009	Cancer	PALB2
COSMIC CGC 20171009	Cancer	PAX3
COSMIC CGC 20171009	Cancer	PAX5
COSMIC CGC 20171009	Cancer	PAX7
COSMIC CGC 20171009	Cancer	PAX8
COSMIC CGC 20171009	Cancer	PBRM1
COSMIC CGC 20171009	Cancer	PBX1
COSMIC CGC 20171009	Cancer	PCM1
COSMIC CGC 20171009	Cancer	PDCD1LG2
COSMIC CGC 20171009	Cancer	PDE4DIP
COSMIC CGC 20171009	Cancer	PDGFB
COSMIC CGC 20171009	Cancer	PDGFRA
COSMIC CGC 20171009	Cancer	PDGFRB
COSMIC CGC 20171009	Cancer	PER1
COSMIC CGC 20171009	Cancer	PHF6
COSMIC CGC 20171009	Cancer	PHOX2B
COSMIC CGC 20171009	Cancer	PICALM
COSMIC CGC 20171009	Cancer	PIK3CA
COSMIC CGC 20171009	Cancer	PIK3R1
COSMIC CGC 20171009	Cancer	PIM1
COSMIC CGC 20171009	Cancer	PLAG1
COSMIC CGC 20171009	Cancer	PLCG1
COSMIC CGC 20171009	Cancer	PML
COSMIC CGC 20171009	Cancer	PMS2
COSMIC CGC 20171009	Cancer	POLE
COSMIC CGC 20171009	Cancer	POT1
COSMIC CGC 20171009	Cancer	POU2AF1
COSMIC CGC 20171009	Cancer	POU5F1
COSMIC CGC 20171009	Cancer	PPARG
COSMIC CGC 20171009	Cancer	PPFIBP1
COSMIC CGC 20171009	Cancer	PPM1D
COSMIC CGC 20171009	Cancer	PPP2R1A
COSMIC CGC 20171009	Cancer	PPP6C
COSMIC CGC 20171009	Cancer	PRCC
COSMIC CGC 20171009	Cancer	PRDM1
COSMIC CGC 20171009	Cancer	PRDM16
COSMIC CGC 20171009	Cancer	PREX2
COSMIC CGC 20171009	Cancer	PRF1
COSMIC CGC 20171009	Cancer	PRKACA
COSMIC CGC 20171009	Cancer	PRKAR1A
COSMIC CGC 20171009	Cancer	PRRX1
COSMIC CGC 20171009	Cancer	PSIP1
COSMIC CGC 20171009	Cancer	PTCH1
COSMIC CGC 20171009	Cancer	PTEN
COSMIC CGC 20171009	Cancer	PTK6
COSMIC CGC 20171009	Cancer	PTPN11
COSMIC CGC 20171009	Cancer	PTPN13
COSMIC CGC 20171009	Cancer	PTPRB
COSMIC CGC 20171009	Cancer	PTPRC
COSMIC CGC 20171009	Cancer	PTPRK
COSMIC CGC 20171009	Cancer	PTPRT
COSMIC CGC 20171009	Cancer	QKI
COSMIC CGC 20171009	Cancer	RABEP1
COSMIC CGC 20171009	Cancer	RAC1
COSMIC CGC 20171009	Cancer	RAD21
COSMIC CGC 20171009	Cancer	RAD51B
COSMIC CGC 20171009	Cancer	RAF1
COSMIC CGC 20171009	Cancer	RANBP2
COSMIC CGC 20171009	Cancer	RAP1GDS1
COSMIC CGC 20171009	Cancer	RARA
COSMIC CGC 20171009	Cancer	RB1
COSMIC CGC 20171009	Cancer	RBM10
COSMIC CGC 20171009	Cancer	RBM15
COSMIC CGC 20171009	Cancer	RECQL4
COSMIC CGC 20171009	Cancer	REL
COSMIC CGC 20171009	Cancer	RET
COSMIC CGC 20171009	Cancer	RHOA
COSMIC CGC 20171009	Cancer	RHOH
COSMIC CGC 20171009	Cancer	RMI2
COSMIC CGC 20171009	Cancer	RNF213
COSMIC CGC 20171009	Cancer	RNF43
COSMIC CGC 20171009	Cancer	ROS1
COSMIC CGC 20171009	Cancer	RPL10
COSMIC CGC 20171009	Cancer	RPL22
COSMIC CGC 20171009	Cancer	RPL5
COSMIC CGC 20171009	Cancer	RPN1
COSMIC CGC 20171009	Cancer	RSPO2
COSMIC CGC 20171009	Cancer	RSPO3
COSMIC CGC 20171009	Cancer	RUNX1
COSMIC CGC 20171009	Cancer	RUNX1T1
COSMIC CGC 20171009	Cancer	SALL4
COSMIC CGC 20171009	Cancer	SBDS
COSMIC CGC 20171009	Cancer	SDC4
COSMIC CGC 20171009	Cancer	SDHA
COSMIC CGC 20171009	Cancer	SDHAF2
COSMIC CGC 20171009	Cancer	SDHB
COSMIC CGC 20171009	Cancer	SDHC
COSMIC CGC 20171009	Cancer	SDHD
COSMIC CGC 20171009	Cancer	SET
COSMIC CGC 20171009	Cancer	SETBP1
COSMIC CGC 20171009	Cancer	SETD2
COSMIC CGC 20171009	Cancer	SF3B1
COSMIC CGC 20171009	Cancer	SFPQ
COSMIC CGC 20171009	Cancer	SFRP4
COSMIC CGC 20171009	Cancer	SH2B3
COSMIC CGC 20171009	Cancer	SH3GL1
COSMIC CGC 20171009	Cancer	SLC34A2
COSMIC CGC 20171009	Cancer	SLC45A3
COSMIC CGC 20171009	Cancer	SMAD2
COSMIC CGC 20171009	Cancer	SMAD3
COSMIC CGC 20171009	Cancer	SMAD4
COSMIC CGC 20171009	Cancer	SMARCA4
COSMIC CGC 20171009	Cancer	SMARCB1
COSMIC CGC 20171009	Cancer	SMARCD1
COSMIC CGC 20171009	Cancer	SMARCE1
COSMIC CGC 20171009	Cancer	SMO
COSMIC CGC 20171009	Cancer	SND1
COSMIC CGC 20171009	Cancer	SOCS1
COSMIC CGC 20171009	Cancer	SOX2
COSMIC CGC 20171009	Cancer	SPEN
COSMIC CGC 20171009	Cancer	SPOP
COSMIC CGC 20171009	Cancer	SRC
COSMIC CGC 20171009	Cancer	SRSF2
COSMIC CGC 20171009	Cancer	SRSF3
COSMIC CGC 20171009	Cancer	SS18
COSMIC CGC 20171009	Cancer	SS18L1
COSMIC CGC 20171009	Cancer	SSX1
COSMIC CGC 20171009	Cancer	SSX2
COSMIC CGC 20171009	Cancer	SSX4
COSMIC CGC 20171009	Cancer	STAG2
COSMIC CGC 20171009	Cancer	STAT3
COSMIC CGC 20171009	Cancer	STAT5B
COSMIC CGC 20171009	Cancer	STAT6
COSMIC CGC 20171009	Cancer	STIL
COSMIC CGC 20171009	Cancer	STK11
COSMIC CGC 20171009	Cancer	STRN
COSMIC CGC 20171009	Cancer	SUFU
COSMIC CGC 20171009	Cancer	SUZ12
COSMIC CGC 20171009	Cancer	SYK
COSMIC CGC 20171009	Cancer	TAF15
COSMIC CGC 20171009	Cancer	TAL1
COSMIC CGC 20171009	Cancer	TAL2
COSMIC CGC 20171009	Cancer	TBL1XR1
COSMIC CGC 20171009	Cancer	TBX3
COSMIC CGC 20171009	Cancer	TCEA1
COSMIC CGC 20171009	Cancer	TCF12
COSMIC CGC 20171009	Cancer	TCF3
COSMIC CGC 20171009	Cancer	TCF7L2
COSMIC CGC 20171009	Cancer	TCL1A
COSMIC CGC 20171009	Cancer	TERT
COSMIC CGC 20171009	Cancer	TET1
COSMIC CGC 20171009	Cancer	TET2
COSMIC CGC 20171009	Cancer	TFE3
COSMIC CGC 20171009	Cancer	TFEB
COSMIC CGC 20171009	Cancer	TFG
COSMIC CGC 20171009	Cancer	TGFBR2
COSMIC CGC 20171009	Cancer	TLX1
COSMIC CGC 20171009	Cancer	TLX3
COSMIC CGC 20171009	Cancer	TMEM127
COSMIC CGC 20171009	Cancer	TMPRSS2
COSMIC CGC 20171009	Cancer	TNFAIP3
COSMIC CGC 20171009	Cancer	TNFRSF14
COSMIC CGC 20171009	Cancer	TNFRSF17
COSMIC CGC 20171009	Cancer	TOP1
COSMIC CGC 20171009	Cancer	TP53
COSMIC CGC 20171009	Cancer	TP63
COSMIC CGC 20171009	Cancer	TPM3
COSMIC CGC 20171009	Cancer	TPM4
COSMIC CGC 20171009	Cancer	TPR
COSMIC CGC 20171009	Cancer	TRA
COSMIC CGC 20171009	Cancer	TRAF7
COSMIC CGC 20171009	Cancer	TRB
COSMIC CGC 20171009	Cancer	TRD
COSMIC CGC 20171009	Cancer	TRIM24
COSMIC CGC 20171009	Cancer	TRIM27
COSMIC CGC 20171009	Cancer	TRIM33
COSMIC CGC 20171009	Cancer	TRIP11
COSMIC CGC 20171009	Cancer	TRRAP
COSMIC CGC 20171009	Cancer	TSC1
COSMIC CGC 20171009	Cancer	TSC2
COSMIC CGC 20171009	Cancer	TSHR
COSMIC CGC 20171009	Cancer	U2AF1
COSMIC CGC 20171009	Cancer	UBR5
COSMIC CGC 20171009	Cancer	USP6
COSMIC CGC 20171009	Cancer	USP8
COSMIC CGC 20171009	Cancer	VHL
COSMIC CGC 20171009	Cancer	WAS
COSMIC CGC 20171009	Cancer	WHSC1
COSMIC CGC 20171009	Cancer	WHSC1L1
COSMIC CGC 20171009	Cancer	WIF1
COSMIC CGC 20171009	Cancer	WRN
COSMIC CGC 20171009	Cancer	WT1
COSMIC CGC 20171009	Cancer	WWTR1
COSMIC CGC 20171009	Cancer	XPA
COSMIC CGC 20171009	Cancer	XPC
COSMIC CGC 20171009	Cancer	XPO1
COSMIC CGC 20171009	Cancer	YWHAE
COSMIC CGC 20171009	Cancer	ZBTB16
COSMIC CGC 20171009	Cancer	ZFHX3
COSMIC CGC 20171009	Cancer	ZNF198
COSMIC CGC 20171009	Cancer	ZNF278
COSMIC CGC 20171009	Cancer	ZNF331
COSMIC CGC 20171009	Cancer	ZNF384
COSMIC CGC 20171009	Cancer	ZNF521
COSMIC CGC 20171009	Cancer	ZRSR2
